Time,Temperature 
m/d/y,C 
 03/08/07 6:34 PM ,21.50 
 03/08/07 7:34 PM ,21.50 
 03/08/07 8:34 PM ,21.50 
 03/08/07 9:34 PM ,21.50 
 03/08/07 10:34 PM ,21.50 
 03/08/07 11:34 PM ,21.50 
 03/09/07 12:34 AM ,21.50 
 03/09/07 1:34 AM ,21.50 
 03/09/07 2:34 AM ,21.50 
 03/09/07 3:34 AM ,21.50 
 03/09/07 4:34 AM ,21.50 
 03/09/07 5:34 AM ,21.50 
 03/09/07 6:34 AM ,21.50 
 03/09/07 7:34 AM ,21.50 
 03/09/07 8:34 AM ,21.50 
 03/09/07 9:34 AM ,21.50 
 03/09/07 10:34 AM ,21.50 
 03/09/07 11:34 AM ,21.50 
 03/09/07 12:34 PM ,21.50 
 03/09/07 1:34 PM ,21.50 
 03/09/07 2:34 PM ,21.50 
 03/09/07 3:34 PM ,21.50 
 03/09/07 4:34 PM ,21.50 
 03/09/07 5:34 PM ,21.50 
 03/09/07 6:34 PM ,21.50 
 03/09/07 7:34 PM ,21.50 
 03/09/07 8:34 PM ,21.50 
 03/09/07 9:34 PM ,21.50 
 03/09/07 10:34 PM ,21.50 
 03/09/07 11:34 PM ,21.50 
 03/10/07 12:34 AM ,21.50 
 03/10/07 1:34 AM ,21.50 
 03/10/07 2:34 AM ,21.50 
 03/10/07 3:34 AM ,21.50 
 03/10/07 4:34 AM ,21.50 
 03/10/07 5:34 AM ,21.50 
 03/10/07 6:34 AM ,21.50 
 03/10/07 7:34 AM ,21.50 
 03/10/07 8:34 AM ,21.50 
 03/10/07 9:34 AM ,21.50 
 03/10/07 10:34 AM ,21.50 
 03/10/07 11:34 AM ,21.50 
 03/10/07 12:34 PM ,21.50 
 03/10/07 1:34 PM ,21.50 
 03/10/07 2:34 PM ,21.50 
 03/10/07 3:34 PM ,21.50 
 03/10/07 4:34 PM ,21.50 
 03/10/07 5:34 PM ,21.50 
 03/10/07 6:34 PM ,21.50 
 03/10/07 7:34 PM ,21.50 
 03/10/07 8:34 PM ,21.50 
 03/10/07 9:34 PM ,21.50 
 03/10/07 10:34 PM ,21.50 
 03/10/07 11:34 PM ,21.50 
 03/11/07 12:34 AM ,21.50 
 03/11/07 1:34 AM ,21.50 
 03/11/07 3:34 AM ,21.50 
 03/11/07 4:34 AM ,21.50 
 03/11/07 5:34 AM ,21.50 
 03/11/07 6:34 AM ,21.50 
 03/11/07 7:34 AM ,21.50 
 03/11/07 8:34 AM ,21.50 
 03/11/07 9:34 AM ,21.50 
 03/11/07 10:34 AM ,21.50 
 03/11/07 11:34 AM ,21.50 
 03/11/07 12:34 PM ,21.50 
 03/11/07 1:34 PM ,21.50 
 03/11/07 2:34 PM ,21.50 
 03/11/07 3:34 PM ,21.50 
 03/11/07 4:34 PM ,21.50 
 03/11/07 5:34 PM ,21.50 
 03/11/07 6:34 PM ,21.50 
 03/11/07 7:34 PM ,21.50 
 03/11/07 8:34 PM ,21.50 
 03/11/07 9:34 PM ,21.50 
 03/11/07 10:34 PM ,21.50 
 03/11/07 11:34 PM ,21.50 
 03/12/07 12:34 AM ,21.50 
 03/12/07 1:34 AM ,21.50 
 03/12/07 2:34 AM ,21.50 
 03/12/07 3:34 AM ,21.50 
 03/12/07 4:34 AM ,21.50 
 03/12/07 5:34 AM ,21.50 
 03/12/07 6:34 AM ,21.50 
 03/12/07 7:34 AM ,21.50 
 03/12/07 8:34 AM ,21.50 
 03/12/07 9:34 AM ,21.50 
 03/12/07 10:34 AM ,21.50 
 03/12/07 11:34 AM ,21.50 
 03/12/07 12:34 PM ,21.50 
 03/12/07 1:34 PM ,21.50 
 03/12/07 2:34 PM ,21.50 
 03/12/07 3:34 PM ,21.50 
 03/12/07 4:34 PM ,21.50 
 03/12/07 5:34 PM ,21.50 
 03/12/07 6:34 PM ,21.50 
 03/12/07 7:34 PM ,21.50 
 03/12/07 8:34 PM ,21.50 
 03/12/07 9:34 PM ,21.50 
 03/12/07 10:34 PM ,21.50 
 03/12/07 11:34 PM ,21.50 
 03/13/07 12:34 AM ,21.50 
 03/13/07 1:34 AM ,21.50 
 03/13/07 2:34 AM ,21.50 
 03/13/07 3:34 AM ,21.50 
 03/13/07 4:34 AM ,21.50 
 03/13/07 5:34 AM ,21.50 
 03/13/07 6:34 AM ,21.50 
 03/13/07 7:34 AM ,21.50 
 03/13/07 8:34 AM ,21.50 
 03/13/07 9:34 AM ,21.50 
 03/13/07 10:34 AM ,21.50 
 03/13/07 11:34 AM ,21.50 
 03/13/07 12:34 PM ,21.50 
 03/13/07 1:34 PM ,22.00 
 03/13/07 2:34 PM ,22.00 
 03/13/07 3:34 PM ,21.50 
 03/13/07 4:34 PM ,21.00 
 03/13/07 5:34 PM ,21.00 
 03/13/07 6:34 PM ,21.00 
 03/13/07 7:34 PM ,21.50 
 03/13/07 8:34 PM ,22.00 
 03/13/07 9:34 PM ,22.00 
 03/13/07 10:34 PM ,21.50 
 03/13/07 11:34 PM ,21.00 
 03/14/07 12:34 AM ,21.50 
 03/14/07 1:34 AM ,21.50 
 03/14/07 2:34 AM ,21.00 
 03/14/07 3:34 AM ,21.00 
 03/14/07 4:34 AM ,20.50 
 03/14/07 5:34 AM ,20.00 
 03/14/07 6:34 AM ,20.00 
 03/14/07 7:34 AM ,19.00 
 03/14/07 8:34 AM ,19.00 
 03/14/07 9:34 AM ,18.50 
 03/14/07 10:34 AM ,21.00 
 03/14/07 11:34 AM ,22.50 
 03/14/07 12:34 PM ,23.00 
 03/14/07 1:34 PM ,23.00 
 03/14/07 2:34 PM ,23.00 
 03/14/07 3:34 PM ,23.00 
 03/14/07 4:34 PM ,22.50 
 03/14/07 5:34 PM ,23.50 
 03/14/07 6:34 PM ,15.00 
 03/14/07 7:34 PM ,12.50 
 03/14/07 8:34 PM ,12.00 
 03/14/07 9:34 PM ,12.00 
 03/14/07 10:34 PM ,11.00 
 03/14/07 11:34 PM ,11.00 
 03/15/07 12:34 AM ,10.50 
 03/15/07 1:34 AM ,10.50 
 03/15/07 2:34 AM ,10.50 
 03/15/07 3:34 AM ,10.50 
 03/15/07 4:34 AM ,10.00 
 03/15/07 5:34 AM ,10.00 
 03/15/07 6:34 AM ,10.00 
 03/15/07 7:34 AM ,10.00 
 03/15/07 8:34 AM ,11.00 
 03/15/07 9:34 AM ,11.50 
 03/15/07 10:34 AM ,14.00 
 03/15/07 11:34 AM ,14.00 
 03/15/07 12:34 PM ,15.00 
 03/15/07 1:34 PM ,15.50 
 03/15/07 2:34 PM ,15.50 
 03/15/07 3:34 PM ,15.00 
 03/15/07 4:34 PM ,15.00 
 03/15/07 5:34 PM ,15.00 
 03/15/07 6:34 PM ,15.00 
 03/15/07 7:34 PM ,14.00 
 03/15/07 8:34 PM ,13.50 
 03/15/07 9:34 PM ,13.00 
 03/15/07 10:34 PM ,13.00 
 03/15/07 11:34 PM ,12.50 
 03/16/07 12:34 AM ,12.50 
 03/16/07 1:34 AM ,12.50 
 03/16/07 2:34 AM ,12.50 
 03/16/07 3:34 AM ,12.00 
 03/16/07 4:34 AM ,12.00 
 03/16/07 5:34 AM ,11.50 
 03/16/07 6:34 AM ,11.50 
 03/16/07 7:34 AM ,11.50 
 03/16/07 8:34 AM ,12.00 
