LakeID,LakeName,SampleDate,SampleNumber,Cage#,MFDensNum,MFDens,GenusSpp,MFLength,AFDM
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,11.95,0.005
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,11.4,0.0048
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,10.7,0.0044
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,10.3,0.0034
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,10.1,0.0034
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,9.4,0.0029
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,9.2,0.0027
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,9.4,0.0025
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,9.2,0.0025
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,10.1,0.0024
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8.6,0.0022
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8.8,0.0021
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8.8,0.002
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8.5,0.002
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8.4,0.002
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8.35,0.0019
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8.7,0.0019
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8.5,0.0019
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8,0.0019
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8.6,0.0019
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,8.4,0.0017
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,7.5,0.0016
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,7.5,0.0016
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,7.6,0.0015
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,7.1,0.0012
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,7.3,0.0012
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,7.3,0.0012
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,6.95,0.0011
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,7.2,0.0011
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,6.9,0.0011
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,7,0.0011
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,6.5,0.001
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,6.2,0.001
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,5.6,0.0009
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,6.9,0.0009
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,6.9,0.0008
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,5.8,0.0008
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,6,0.0008
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,7.1,0.0007
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,6.4,0.0006
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,5.3,0.0006
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,6.3,0.0005
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,5.5,0.0005
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,5,0.0005
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,5.4,0.0005
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,6,0.0004
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,5.1,0.0003
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,5.6,0.0003
10102,LeConte,15-Jul-09,S1,0,0,na,Ameletus spp.,5.2,0
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,12,0.0044
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,11,0.0043
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,10.5,0.0042
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,11,0.0041
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,10.5,0.0037
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,10.9,0.0036
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9.8,0.0035
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9.6,0.0031
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,10.1,0.0031
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,10,0.003
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,10,0.003
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,10.1,0.003
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.9,0.0029
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,10.2,0.0028
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.7,0.0028
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9.7,0.0027
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9.2,0.0026
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.8,0.0026
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.9,0.0026
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9.2,0.0026
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9.8,0.0025
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.4,0.0025
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9.3,0.0025
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9.5,0.0024
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.6,0.0023
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9.1,0.0022
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.5,0.0021
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9,0.0021
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.8,0.0021
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,7.9,0.0021
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,9.1,0.0019
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.2,0.0019
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.5,0.0018
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.2,0.0018
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.3,0.0018
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.4,0.0018
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,7.7,0.0018
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,7.5,0.0017
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,6.15,0.0017
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.2,0.0016
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,7,0.0016
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.1,0.0016
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,6.7,0.0015
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8,0.0015
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,7.6,0.0014
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,8.1,0.0014
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,7.9,0.0014
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,7.4,0.0014
10102,LeConte,1-Aug-09,S2,0,0,na,Ameletus spp.,7.4,0.0014
